"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Beredskapsledelsen"
"05/08/2021 14:50:07:197 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"3","3","7","15","4","1","7","2","22","3","26","10","60","7","648","250","236","2","160","1","50.440677966101696","66","229","7","30","8"
"1","3","7","15","4","1","7","2","22","3","26","10","60","7","641","250","219","12","160","17","51.186440677966104","65","208","6","27","12"
"4","3","7","15","4","1","7","2","22","3","26","10","60","7","666","250","250","6","160","13","50.79661016949152","62","206","10","29","6"
"2","3","7","15","4","1","7","2","22","3","26","10","60","7","666","250","231","25","160","15","50.932203389830505","66","209","6","31","8"
"7","3","7","15","4","1","7","2","22","3","26","10","60","7","642","250","231","1","160","4","45.220338983050844","71","230","6","31","8"
"6","3","7","15","4","1","7","2","22","3","26","10","60","7","672","250","237","25","160","8","50.610169491525426","72","222","6","33","6"
"5","3","7","15","4","1","7","2","22","3","26","10","60","7","662","250","250","2","160","2","50.59322033898305","75","228","13","24","8"
"8","3","7","15","4","1","7","2","22","3","26","10","60","7","656","250","227","19","160","23","50.79661016949152","68","204","4","35","6"
"9","3","7","15","4","1","7","2","22","3","26","10","60","7","653","250","235","8","160","3","50.52542372881356","71","228","8","27","10"
"10","3","7","15","4","1","7","2","22","3","26","10","60","7","658","250","234","14","160","13","50.91525423728814","59","209","6","32","7"
