"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Driftsutvalget"
"05/08/2021 14:49:54:079 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"4","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","99","1","140","9","50.54545454545455","69","218","3","3","27"
"2","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","250","93","17","140","5","50.77272727272727","73","226","3","1","29"
"1","4","7","0","3","2","3.5","1","22","3","0","2","60","5","498","250","102","6","140","17","51","60","207","3","4","26"
"3","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","250","93","0","140","8","50.63636363636363","63","222","3","1","29"
"7","4","7","0","3","2","3.5","1","22","3","0","2","60","5","488","250","93","5","140","9","50.55102040816327","73","218","3","1","29"
"6","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","96","3","140","14","50.97727272727273","63","211","3","2","28"
"8","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","250","93","17","140","2","30","61","234","3","1","29"
"5","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","250","99","11","140","4","50.47727272727273","69","226","3","3","27"
"9","4","7","0","3","2","3.5","1","22","3","0","2","60","5","482","250","90","2","140","11","51.30612244897959","77","211","3","0","30"
"10","4","7","0","3","2","3.5","1","22","3","0","2","60","5","499","250","102","7","140","14","50.5","68","214","3","4","26"
