"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Beredskapsledelsen"
"05/09/2021 18:41:19:228 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"4","3","7","15","4","1","7","2","22","3","26","10","60","7","679","250","250","19","160","24","51.08474576271186","888","2710","11","30","4"
"3","3","7","15","4","1","7","2","22","3","26","10","60","5","491","52","250","29","160","128","51.271186440677965","893","2533","10","30","5"
"2","3","7","15","4","1","7","2","22","3","26","10","60","6","512","86","250","16","160","111","51.05084745762712","905","2551","14","25","6"
"7","3","7","15","4","1","7","2","22","3","26","10","60","6","596","160","250","26","160","74","51.30508474576271","942","2645","13","30","2"
"6","3","7","15","4","1","7","2","22","3","26","10","60","6","506","96","250","0","160","106","51.05084745762712","892","2590","14","26","5"
"5","3","7","15","4","1","7","2","22","3","26","10","60","7","647","220","250","17","160","44","51.52542372881356","880","2716","12","29","4"
"8","3","7","15","4","1","7","2","22","3","26","10","60","6","558","132","250","16","160","88","51.186440677966104","925","2586","6","39","0"
"9","3","7","15","4","1","7","2","22","3","26","10","60","6","570","150","250","10","160","79","50.983050847457626","857","2632","12","27","6"
"10","3","7","15","4","1","7","2","22","3","26","10","60","5","495","82","250","3","160","113","51.220338983050844","887","2559","11","31","3"
"1","3","7","15","4","1","7","2","22","3","26","10","60","7","675","250","250","15","160","14","51.389830508474574","837","2796","17","23","5"
