"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Driftsutvalget"
"05/09/2021 18:41:01:809 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"5","4","7","0","3","2","3.5","1","22","3","0","2","60","4","347","94","102","11","140","107","51.20454545454545","864","2566","3","4","26"
"6","4","7","0","3","2","3.5","1","22","3","0","2","60","5","493","250","103","0","140","18","51.09090909090909","952","2745","2","7","24"
"4","4","7","0","3","2","3.5","1","22","3","0","2","60","5","475","230","94","11","140","39","50.95454545454545","904","2686","2","4","27"
"8","4","7","0","3","2","3.5","1","22","3","0","2","60","5","498","250","103","5","140","16","51.13636363636363","923","2775","2","7","24"
"3","4","7","0","3","2","3.5","1","22","3","0","2","60","5","431","182","105","4","140","63","50.93181818181818","879","2696","3","5","25"
"2","4","7","0","3","2","3.5","1","22","3","0","2","60","3","267","26","97","4","140","141","50.97727272727273","938","2466","2","5","26"
"7","4","7","0","3","2","3.5","1","22","3","0","2","60","4","326","70","115","1","140","119","51.18181818181818","885","2535","2","11","20"
"9","4","7","0","3","2","3.5","1","22","3","0","2","60","4","330","88","102","0","140","110","51.04545454545455","856","2554","3","4","26"
"10","4","7","0","3","2","3.5","1","22","3","0","2","60","4","322","62","105","15","140","123","50.86363636363637","847","2559","3","5","25"
"1","4","7","0","3","2","3.5","1","22","3","0","2","60","5","481","232","108","1","140","38","50.81818181818182","883","2716","3","6","24"
