"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Intensiven"
"05/09/2021 18:41:39:598 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"2","2","7","15","1","2","5","0","22","1","30","30","60","6","559","60","250","39","210","124","51.17171717171717","921","2520","21","60","4"
"6","2","7","15","1","2","5","0","22","1","30","30","60","6","560","88","250","12","210","110","51.09090909090909","903","2571","20","58","7"
"3","2","7","15","1","2","5","0","22","1","30","30","60","8","719","250","250","9","210","13","51.16161616161616","835","2798","17","61","7"
"4","2","7","15","1","2","5","0","22","1","30","30","60","7","615","128","250","27","210","90","51.111111111111114","911","2614","22","59","4"
"5","2","7","15","1","2","5","0","22","1","30","30","60","6","526","38","250","28","210","135","50.90909090909091","843","2539","18","63","4"
"8","2","7","15","1","2","5","0","22","1","30","30","60","6","598","132","250","6","210","88","51.111111111111114","888","2601","22","58","5"
"7","2","7","15","1","2","5","0","22","1","30","30","60","6","529","38","250","31","210","135","51","855","2515","21","53","11"
"9","2","7","15","1","2","5","0","22","1","30","30","60","7","693","192","250","41","210","58","50.91919191919192","867","2676","20","59","6"
"10","2","7","15","1","2","5","0","22","1","30","30","60","6","529","36","250","33","210","136","51.282828282828284","899","2487","20","57","8"
"1","2","7","15","1","2","5","0","22","1","30","30","60","7","653","156","250","37","210","76","51.08080808080808","888","2612","25","57","3"
