"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Virkeligheten"
"05/09/2021 18:40:39:261 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"5","5","7","3","2","2","3.5","2","22","4","0","7","60","4","353","84","192","7","70","112","51.148936170212764","898","2551","4","10","51"
"8","5","7","3","2","2","3.5","2","22","4","0","7","60","6","502","250","181","1","70","26","51.46808510638298","896","2691","2","13","48"
"4","5","7","3","2","2","3.5","2","22","4","0","7","60","4","355","78","190","17","70","115","51.17391304347826","888","2509","4","10","50"
"6","5","7","3","2","2","3.5","2","22","4","0","7","60","5","484","250","159","5","70","16","51.17391304347826","942","2773","2","5","57"
"3","5","7","3","2","2","3.5","2","22","4","0","7","60","6","524","250","183","21","70","19","51.13333333333333","921","2773","6","5","49"
"2","5","7","3","2","2","3.5","2","22","4","0","7","60","3","245","16","156","3","70","146","50.95652173913044","893","2469","0","10","53"
"7","5","7","3","2","2","3.5","2","22","4","0","7","60","4","354","92","181","11","70","108","51","895","2531","4","7","53"
"9","5","7","3","2","2","3.5","2","22","4","0","7","60","5","500","250","175","5","70","16","50.888888888888886","857","2800","6","3","50"
"10","5","7","3","2","2","3.5","2","22","4","0","7","60","3","268","4","194","0","70","152","51.08888888888889","915","2501","6","10","42"
"1","5","7","3","2","2","3.5","2","22","4","0","7","60","4","371","116","166","19","70","96","51.08695652173913","908","2565","2","8","53"
