"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Beredskapsledelsen"
"05/09/2021 20:06:55:487 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","3","7","15","4","1","7","2","22","3","26","10","60","5","481","92","215","14","160","111","51.220338983050844","923","2891","4","31","10"
"8","3","7","15","4","1","7","2","22","3","26","10","60","5","491","76","240","15","160","119","50.83050847457627","993","2885","9","26","10"
"5","3","7","15","4","1","7","2","22","3","26","10","60","5","412","0","250","2","160","145","51.16949152542373","980","2793","12","23","10"
"2","3","7","15","4","1","7","2","22","3","26","10","60","6","559","146","250","3","160","84","51.28813559322034","959","2938","11","28","6"
"4","3","7","15","4","1","7","2","22","3","26","10","60","5","428","0","248","20","160","129","51.355932203389834","996","2826","7","34","4"
"7","3","7","15","4","1","7","2","22","3","26","10","60","6","578","176","238","4","160","69","51","953","2978","8","28","9"
"3","3","7","15","4","1","7","2","22","3","26","10","60","5","481","96","216","9","160","109","51.13559322033898","959","2877","3","34","8"
"9","3","7","15","4","1","7","2","22","3","26","10","60","6","586","154","248","24","160","80","51.271186440677965","943","2965","7","34","4"
"6","3","7","15","4","1","7","2","22","3","26","10","60","7","606","182","250","14","160","66","51.20338983050848","968","2962","9","30","6"
"12","3","7","15","4","1","7","2","22","3","26","10","60","6","592","180","244","8","160","67","50.94915254237288","1003","2963","8","30","7"
"13","3","7","15","4","1","7","2","22","3","26","10","60","7","670","250","243","17","160","25","51.16949152542373","958","3068","6","35","4"
"10","3","7","15","4","1","7","2","22","3","26","10","60","7","646","250","236","0","160","21","50.779661016949156","976","3068","7","30","8"
"11","3","7","15","4","1","7","2","22","3","26","10","60","7","680","250","250","20","160","28","51.57627118644068","1018","3054","10","29","6"
"14","3","7","15","4","1","7","2","22","3","26","10","60","7","626","198","250","18","160","58","51.32203389830509","918","2975","11","24","10"
"15","3","7","15","4","1","7","2","22","3","26","10","60","7","609","196","250","3","160","59","51.644067796610166","954","2998","8","32","5"
"16","3","7","15","4","1","7","2","22","3","26","10","60","4","378","0","213","5","160","128","51.32203389830509","969","2863","3","33","9"
"18","3","7","15","4","1","7","2","22","3","26","10","60","5","411","0","250","1","160","166","51.101694915254235","978","2777","10","28","7"
"17","3","7","15","4","1","7","2","22","3","26","10","60","5","496","78","239","19","160","118","51.271186440677965","1007","2855","7","31","7"
"20","3","7","15","4","1","7","2","22","3","26","10","60","7","639","216","247","16","160","49","51.03389830508475","983","2987","8","31","6"
"19","3","7","15","4","1","7","2","22","3","26","10","60","5","423","0","248","15","160","140","51.49152542372882","997","2862","10","26","9"
"21","3","7","15","4","1","7","2","22","3","26","10","60","5","494","72","246","16","160","121","51.28813559322034","978","2849","9","28","8"
"24","3","7","15","4","1","7","2","22","3","26","10","60","6","594","162","249","23","160","76","51.271186440677965","1024","2925","9","29","7"
"23","3","7","15","4","1","7","2","22","3","26","10","60","7","606","176","244","26","160","69","51.101694915254235","984","2995","8","30","7"
