"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Driftsutvalget"
"05/09/2021 20:06:33:861 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","4","7","0","3","2","3.5","1","22","3","0","2","60","5","494","250","102","2","140","29","51.02272727272727","960","3059","3","4","26"
"3","4","7","0","3","2","3.5","1","22","3","0","2","60","3","240","0","93","7","140","163","51.18181818181818","971","2784","3","1","29"
"6","4","7","0","3","2","3.5","1","22","3","0","2","60","3","252","0","102","10","140","175","51.61363636363637","1002","2762","3","4","26"
"4","4","7","0","3","2","3.5","1","22","3","0","2","60","3","242","0","102","0","140","132","51.06818181818182","975","2802","3","4","26"
"2","4","7","0","3","2","3.5","1","22","3","0","2","60","4","395","134","111","10","140","90","51.04545454545455","1020","2892","3","7","23"
"7","4","7","0","3","2","3.5","1","22","3","0","2","60","4","364","116","96","12","140","99","51.34090909090909","1006","2926","3","2","28"
"8","4","7","0","3","2","3.5","1","22","3","0","2","60","4","377","134","96","7","140","90","51.34090909090909","957","2938","3","2","28"
"9","4","7","0","3","2","3.5","1","22","3","0","2","60","5","450","188","111","11","140","63","51.11363636363637","995","2974","3","7","23"
"10","4","7","0","3","2","3.5","1","22","3","0","2","60","3","249","0","102","7","140","184","51.36363636363637","971","2740","3","4","26"
"5","4","7","0","3","2","3.5","1","22","3","0","2","60","3","242","0","96","6","140","162","50.95454545454545","953","2786","3","2","28"
"11","4","7","0","3","2","3.5","1","22","3","0","2","60","5","421","176","102","3","140","69","51.04545454545455","965","2977","3","4","26"
"16","4","7","0","3","2","3.5","1","22","3","0","2","60","5","426","164","105","17","140","75","51","1024","2922","3","5","25"
"13","4","7","0","3","2","3.5","1","22","3","0","2","60","3","242","0","96","6","140","151","51.18181818181818","922","2818","3","2","28"
"17","4","7","0","3","2","3.5","1","22","3","0","2","60","5","495","250","96","9","140","20","51.18181818181818","1060","3052","3","2","28"
"12","4","7","0","3","2","3.5","1","22","3","0","2","60","3","232","0","90","2","140","145","51.36363636363637","959","2815","3","0","30"
"14","4","7","0","3","2","3.5","1","22","3","0","2","60","3","251","0","108","3","140","143","51.15909090909091","1028","2813","3","6","24"
"15","4","7","0","3","2","3.5","1","22","3","0","2","60","3","249","0","108","1","140","174","51.15909090909091","981","2769","3","6","24"
"20","4","7","0","3","2","3.5","1","22","3","0","2","60","3","239","0","99","0","140","163","51.04545454545455","943","2808","3","3","27"
"19","4","7","0","3","2","3.5","1","22","3","0","2","60","5","474","238","96","0","140","38","51.15909090909091","1018","3046","3","2","28"
"21","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","102","0","140","30","51.15909090909091","1009","3057","3","4","26"
"18","4","7","0","3","2","3.5","1","22","3","0","2","60","4","386","144","102","0","140","85","50.93181818181818","964","2936","3","4","26"
"22","4","7","0","3","2","3.5","1","22","3","0","2","60","4","338","84","99","15","140","115","51.02272727272727","976","2845","3","3","27"
"26","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","93","9","140","25","51.15909090909091","1003","3068","3","1","29"
"24","4","7","0","3","2","3.5","1","22","3","0","2","60","5","443","176","102","25","140","69","51.38636363636363","954","2972","3","4","26"
"28","4","7","0","3","2","3.5","1","22","3","0","2","60","4","389","152","96","1","140","81","51","972","2950","3","2","28"
"27","4","7","0","3","2","3.5","1","22","3","0","2","60","4","392","148","102","2","140","83","51","940","2937","3","4","26"
"23","4","7","0","3","2","3.5","1","22","3","0","2","60","6","506","250","105","11","140","32","51.06818181818182","1048","3055","3","5","25"
"25","4","7","0","3","2","3.5","1","22","3","0","2","60","3","256","0","108","8","140","195","51.11363636363637","993","2710","3","6","24"
"30","4","7","0","3","2","3.5","1","22","3","0","2","60","4","341","92","105","4","140","111","51.09090909090909","1016","2894","3","5","25"
"31","4","7","0","3","2","3.5","1","22","3","0","2","60","4","389","152","96","1","140","81","51","1009","2911","3","2","28"
"33","4","7","0","3","2","3.5","1","22","3","0","2","60","4","348","102","102","4","140","106","50.84090909090909","988","2917","3","4","26"
"34","4","7","0","3","2","3.5","1","22","3","0","2","60","4","337","88","99","10","140","113","51.06818181818182","1006","2899","3","3","27"
"29","4","7","0","3","2","3.5","1","22","3","0","2","60","3","248","0","93","15","140","170","50.90909090909091","945","2752","3","1","29"
"36","4","7","0","3","2","3.5","1","22","3","0","2","60","5","495","250","99","6","140","25","50.90909090909091","1015","3050","3","3","27"
"32","4","7","0","3","2","3.5","1","22","3","0","2","60","5","405","156","96","13","140","79","51.47727272727273","962","2944","3","2","28"
"37","4","7","0","3","2","3.5","1","22","3","0","2","60","3","230","0","90","0","140","167","51.38636363636363","937","2771","3","0","30"
"38","4","7","0","3","2","3.5","1","22","3","0","2","60","3","245","0","102","3","140","205","51.09090909090909","949","2723","3","4","26"
"35","4","7","0","3","2","3.5","1","22","3","0","2","60","3","263","0","105","18","140","158","51.15909090909091","938","2791","3","5","25"
"39","4","7","0","3","2","3.5","1","22","3","0","2","60","5","404","156","105","3","140","79","51.45454545454545","997","2945","3","5","25"
