"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Intensiven"
"05/09/2021 20:07:18:556 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","2","7","15","1","2","5","0","22","1","30","30","60","7","678","216","250","2","210","49","51.13131313131313","969","3027","16","49","10"
"2","2","7","15","1","2","5","0","22","1","30","30","60","8","719","234","250","25","210","40","51.27272727272727","989","3029","8","57","10"
"4","2","7","15","1","2","5","0","22","1","30","30","60","5","498","0","250","38","210","181","51.08080808080808","952","2735","15","46","14"
"8","2","7","15","1","2","5","0","22","1","30","30","60","5","464","0","250","4","210","180","51.16161616161616","959","2747","11","49","15"
"6","2","7","15","1","2","5","0","22","1","30","30","60","5","462","0","250","2","210","126","51.05050505050505","983","2834","16","48","11"
"7","2","7","15","1","2","5","0","22","1","30","30","60","5","474","0","250","14","210","163","51.19191919191919","950","2808","13","47","15"
"5","2","7","15","1","2","5","0","22","1","30","30","60","5","465","0","250","5","210","168","51.15151515151515","955","2773","9","56","10"
"3","2","7","15","1","2","5","0","22","1","30","30","60","8","702","240","250","2","210","37","51.2020202020202","988","3026","15","49","11"
"9","2","7","15","1","2","5","0","22","1","30","30","60","5","488","0","250","28","210","175","51.09090909090909","955","2730","12","54","9"
"11","2","7","15","1","2","5","0","22","1","30","30","60","6","534","74","250","0","210","120","51.111111111111114","948","2894","12","48","15"
"10","2","7","15","1","2","5","0","22","1","30","30","60","5","476","0","250","16","210","186","51.14141414141414","963","2740","10","56","9"
