"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Virkeligheten"
"05/13/2021 15:38:30:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","5","7","3","2","2","3.5","2","22","4","0","7","60","4","366","250","43","3","70","19","49.41379310344828","666","3072","3","1","4"
"3","5","7","3","2","2","3.5","2","22","4","0","7","60","4","372","250","40","12","70","23","49.421052631578945","623","3093","3","0","5"
"5","5","7","3","2","2","3.5","2","22","4","0","7","60","4","361","246","43","2","70","29","48.775862068965516","650","3052","3","1","4"
"4","5","7","3","2","2","3.5","2","22","4","0","7","60","4","371","250","49","2","70","20","49.258620689655174","644","3069","3","3","2"
"7","5","7","3","2","2","3.5","2","22","4","0","7","60","4","373","248","53","2","70","28","49.827586206896555","672","3079","3","1","9"
"8","5","7","3","2","2","3.5","2","22","4","0","7","60","4","347","236","40","1","70","34","49.48275862068966","620","3063","3","0","5"
"9","5","7","3","2","2","3.5","2","22","4","0","7","60","4","383","250","51","12","70","25","49.5","631","3085","3","1","8"
"6","5","7","3","2","2","3.5","2","22","4","0","7","60","4","392","250","71","1","70","22","49.89655172413793","602","3098","3","7","3"
"2","5","7","3","2","2","3.5","2","22","4","0","7","60","4","376","250","54","2","70","24","49.93103448275862","572","3107","3","2","7"
"10","5","7","3","2","2","3.5","2","22","4","0","7","60","4","396","250","62","14","70","19","50.12068965517241","613","3108","3","4","6"
"11","5","7","3","2","2","3.5","2","22","4","0","7","60","4","368","250","43","5","70","19","49.224137931034484","599","3082","3","1","4"
"15","5","7","3","2","2","3.5","2","22","4","0","7","60","4","383","248","59","6","70","28","50","624","3108","3","3","7"
"12","5","7","3","2","2","3.5","2","22","4","0","7","60","4","384","250","46","18","70","15","49.293103448275865","657","3067","3","2","3"
"14","5","7","3","2","2","3.5","2","22","4","0","7","60","4","386","250","65","1","70","22","50.10344827586207","616","3088","3","5","5"
