"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Beredskapsledelsen"
"05/09/2021 20:05:02:815 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","3","7","15","4","1","7","2","22","3","26","10","60","6","522","110","250","2","160","99","51.186440677966104","829","2602","15","25","5"
"8","3","7","15","4","1","7","2","22","3","26","10","60","6","536","110","250","16","160","99","51.101694915254235","837","2571","11","28","6"
"4","3","7","15","4","1","7","2","22","3","26","10","60","7","677","250","250","17","160","13","51.101694915254235","902","2769","15","26","4"
"5","3","7","15","4","1","7","2","22","3","26","10","60","6","546","108","250","28","160","100","51.016949152542374","844","2587","11","30","4"
"7","3","7","15","4","1","7","2","22","3","26","10","60","7","618","204","250","4","160","52","51.30508474576271","935","2658","15","25","5"
"3","3","7","15","4","1","7","2","22","3","26","10","60","7","641","204","250","27","160","52","50.96610169491525","899","2695","15","28","2"
"2","3","7","15","4","1","7","2","22","3","26","10","60","6","547","118","250","19","160","95","51.101694915254235","882","2572","13","29","3"
"9","3","7","15","4","1","7","2","22","3","26","10","60","7","624","212","250","2","160","48","50.847457627118644","910","2692","11","28","6"
"6","3","7","15","4","1","7","2","22","3","26","10","60","7","628","214","250","4","160","47","50.898305084745765","900","2707","12","30","3"
"11","3","7","15","4","1","7","2","22","3","26","10","60","6","523","100","250","13","160","104","50.66101694915254","888","2559","9","30","6"
"12","3","7","15","4","1","7","2","22","3","26","10","60","6","578","166","250","2","160","71","51","823","2620","13","30","2"
"10","3","7","15","4","1","7","2","22","3","26","10","60","7","654","244","250","0","160","32","51.03389830508475","887","2715","13","24","8"
"16","3","7","15","4","1","7","2","22","3","26","10","60","5","487","62","250","15","160","123","50.898305084745765","881","2520","16","24","5"
"13","3","7","15","4","1","7","2","22","3","26","10","60","6","578","144","250","24","160","82","51.16949152542373","882","2614","13","26","6"
"14","3","7","15","4","1","7","2","22","3","26","10","60","5","485","68","250","7","160","120","51.45762711864407","886","2554","16","28","1"
"18","3","7","15","4","1","7","2","22","3","26","10","60","6","536","106","250","20","160","101","51.067796610169495","878","2623","12","28","5"
"19","3","7","15","4","1","7","2","22","3","26","10","60","7","683","250","250","23","160","22","51.08474576271186","909","2787","13","28","4"
"15","3","7","15","4","1","7","2","22","3","26","10","60","6","556","120","250","26","160","94","51.220338983050844","863","2611","12","28","5"
"17","3","7","15","4","1","7","2","22","3","26","10","60","7","671","242","250","19","160","33","51.186440677966104","883","2726","14","27","4"
"20","3","7","15","4","1","7","2","22","3","26","10","60","6","522","102","250","10","160","103","51.13559322033898","883","2573","14","26","5"
"21","3","7","15","4","1","7","2","22","3","26","10","60","7","608","176","250","22","160","66","51.440677966101696","884","2660","13","29","3"
"22","3","7","15","4","1","7","2","22","3","26","10","60","6","522","84","250","28","160","112","51.067796610169495","849","2574","16","21","8"
"25","3","7","15","4","1","7","2","22","3","26","10","60","7","677","250","250","17","160","7","51.11864406779661","908","2793","18","21","6"
"24","3","7","15","4","1","7","2","22","3","26","10","60","5","481","62","250","9","160","123","51.42372881355932","930","2530","8","32","5"
"23","3","7","15","4","1","7","2","22","3","26","10","60","6","506","66","250","30","160","121","51.101694915254235","901","2526","17","27","1"
"27","3","7","15","4","1","7","2","22","3","26","10","60","7","665","236","245","24","160","36","51.152542372881356","922","2698","7","33","5"
"29","3","7","15","4","1","7","2","22","3","26","10","60","7","675","250","250","15","160","17","51.32203389830509","911","2781","15","24","6"
"28","3","7","15","4","1","7","2","22","3","26","10","60","7","634","198","250","26","160","55","50.96610169491525","886","2696","12","28","5"
"31","3","7","15","4","1","7","2","22","3","26","10","60","7","668","250","250","8","160","12","51.25423728813559","903","2759","9","32","4"
"30","3","7","15","4","1","7","2","22","3","26","10","60","6","517","108","249","0","160","100","50.67796610169491","898","2579","6","37","2"
"26","3","7","15","4","1","7","2","22","3","26","10","60","6","559","122","250","27","160","93","51.32203389830509","873","2561","8","34","3"
"32","3","7","15","4","1","7","2","22","3","26","10","60","7","674","250","250","14","160","17","51.16949152542373","833","2800","10","32","3"
"35","3","7","15","4","1","7","2","22","3","26","10","60","7","673","250","250","13","160","17","51.23728813559322","967","2739","12","24","9"
"34","3","7","15","4","1","7","2","22","3","26","10","60","7","626","212","250","4","160","48","51.05084745762712","872","2715","11","30","4"
"33","3","7","15","4","1","7","2","22","3","26","10","60","6","545","110","250","25","160","99","51.08474576271186","894","2561","11","32","2"
"37","3","7","15","4","1","7","2","22","3","26","10","60","7","601","186","250","5","160","61","51.03389830508475","958","2620","10","33","2"
"36","3","7","15","4","1","7","2","22","3","26","10","60","6","530","106","250","14","160","101","51.152542372881356","919","2552","12","29","4"
