"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Driftsutvalget"
"05/13/2021 15:37:04:677 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","4","7","0","3","2","3.5","1","22","3","0","2","60","5","437","236","58","3","140","31","49.85454545454545","579","2773","0","6","14"
"3","4","7","0","3","2","3.5","1","22","3","0","2","60","5","473","250","73","10","140","12","50.018181818181816","552","2781","0","11","9"
"7","4","7","0","3","2","3.5","1","22","3","0","2","60","5","439","250","42","7","140","16","50","539","2806","0","4","11"
"8","4","7","0","3","2","3.5","1","22","3","0","2","60","5","463","250","73","0","140","15","49.81818181818182","541","2791","0","11","9"
"4","4","7","0","3","2","3.5","1","22","3","0","2","60","5","453","250","61","2","140","18","49.32727272727273","546","2788","0","7","13"
"9","4","7","0","3","2","3.5","1","22","3","0","2","60","5","469","250","73","6","140","19","49.370370370370374","562","2796","0","11","9"
"5","4","7","0","3","2","3.5","1","22","3","0","2","60","5","444","250","54","0","140","13","49.7","578","2800","0","8","7"
"6","4","7","0","3","2","3.5","1","22","3","0","2","60","5","455","250","55","10","140","23","49.89090909090909","584","2760","0","5","15"
"2","4","7","0","3","2","3.5","1","22","3","0","2","60","5","470","250","70","10","140","24","50.64","565","2756","0","10","10"
"10","4","7","0","3","2","3.5","1","22","3","0","2","60","5","476","250","83","3","140","11","50.25454545454546","597","2765","0","11","14"
"11","4","7","0","3","2","3.5","1","22","3","0","2","60","5","467","250","75","2","140","20","50.54545454545455","585","2753","0","9","15"
"14","4","7","0","3","2","3.5","1","22","3","0","2","60","5","454","250","64","0","140","14","50.09090909090909","571","2789","0","8","12"
"12","4","7","0","3","2","3.5","1","22","3","0","2","60","5","460","250","52","18","140","15","49.32727272727273","563","2781","0","4","16"
"13","4","7","0","3","2","3.5","1","22","3","0","2","60","5","465","250","71","4","140","11","50.42","510","2811","0","11","8"
"15","4","7","0","3","2","3.5","1","22","3","0","2","60","5","477","250","73","14","140","19","50.4","594","2752","0","11","9"
"16","4","7","0","3","2","3.5","1","22","3","0","2","60","5","426","250","36","0","140","19","50.02","581","2762","0","2","13"
