"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Intensiven"
"05/13/2021 15:37:46:458 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"5","2","7","15","1","2","5","0","22","1","30","30","60","8","736","250","250","26","210","19","50.56435643564357","590","2760","15","28","15"
"1","2","7","15","1","2","5","0","22","1","30","30","60","8","738","250","250","28","210","20","50.49523809523809","593","2779","14","29","17"
"6","2","7","15","1","2","5","0","22","1","30","30","60","8","718","250","250","8","210","16","50.54807692307692","572","2777","14","26","18"
"4","2","7","15","1","2","5","0","22","1","30","30","60","8","743","250","250","33","210","12","50.69230769230769","536","2784","11","32","17"
"8","2","7","15","1","2","5","0","22","1","30","30","60","8","721","250","250","11","210","20","50.475247524752476","536","2791","15","22","16"
"3","2","7","15","1","2","5","0","22","1","30","30","60","8","704","240","250","4","210","29","50.51960784313726","586","2774","11","26","21"
"2","2","7","15","1","2","5","0","22","1","30","30","60","8","742","250","250","32","210","20","50.68571428571428","581","2771","14","29","16"
"7","2","7","15","1","2","5","0","22","1","30","30","60","8","712","250","250","2","210","21","50.745098039215684","560","2781","15","24","15"
"9","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","18","50.691588785046726","517","2799","14","29","18"
"10","2","7","15","1","2","5","0","22","1","30","30","60","8","745","250","250","35","210","13","50.654205607476634","578","2759","16","28","18"
"11","2","7","15","1","2","5","0","22","1","30","30","60","8","738","248","250","30","210","25","50.57692307692308","575","2767","12","27","18"
"12","2","7","15","1","2","5","0","22","1","30","30","60","8","713","240","250","13","210","29","50.51960784313726","584","2762","13","26","20"
"13","2","7","15","1","2","5","0","22","1","30","30","60","8","739","250","250","29","210","13","50.63725490196079","540","2794","12","27","16"
"14","2","7","15","1","2","5","0","22","1","30","30","60","8","726","250","250","16","210","21","50.36274509803921","571","2762","13","26","18"
"15","2","7","15","1","2","5","0","22","1","30","30","60","8","746","250","250","36","210","17","50.50961538461539","599","2758","16","28","16"
"16","2","7","15","1","2","5","0","22","1","30","30","60","8","733","250","250","23","210","15","50.51960784313726","585","2784","10","28","18"
"18","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","17","50.51960784313726","563","2791","13","26","18"
"17","2","7","15","1","2","5","0","22","1","30","30","60","8","712","250","250","2","210","14","50.53398058252427","567","2772","11","28","18"
"19","2","7","15","1","2","5","0","22","1","30","30","60","8","722","250","250","12","210","21","50.56603773584906","574","2765","14","29","15"
"21","2","7","15","1","2","5","0","22","1","30","30","60","8","706","246","250","0","210","26","50.54639175257732","550","2795","13","27","14"
"20","2","7","15","1","2","5","0","22","1","30","30","60","8","713","250","250","3","210","18","50.67619047619048","588","2761","13","30","16"
"23","2","7","15","1","2","5","0","22","1","30","30","60","8","735","250","250","25","210","15","50.640776699029125","584","2787","8","34","13"
"22","2","7","15","1","2","5","0","22","1","30","30","60","8","739","250","250","29","210","20","50.41","583","2778","14","23","17"
"24","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","18","50.673469387755105","547","2785","12","24","17"
"25","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","23","50.594339622641506","577","2765","18","27","18"
"26","2","7","15","1","2","5","0","22","1","30","30","60","8","734","250","250","24","210","15","50.905660377358494","602","2762","14","27","17"
"29","2","7","15","1","2","5","0","22","1","30","30","60","8","733","250","250","23","210","15","50.592592592592595","585","2777","15","26","19"
"27","2","7","15","1","2","5","0","22","1","30","30","60","8","747","250","250","37","210","20","50.48598130841121","595","2775","14","32","15"
"28","2","7","15","1","2","5","0","22","1","30","30","60","8","740","250","250","30","210","20","50.42307692307692","567","2769","11","30","16"
"32","2","7","15","1","2","5","0","22","1","30","30","60","8","732","250","250","22","210","23","50.36082474226804","520","2787","15","19","19"
"33","2","7","15","1","2","5","0","22","1","30","30","60","8","726","246","250","20","210","26","50.56310679611651","588","2771","12","24","23"
"30","2","7","15","1","2","5","0","22","1","30","30","60","8","713","250","250","3","210","21","50.66990291262136","606","2766","14","22","22"
"34","2","7","15","1","2","5","0","22","1","30","30","60","8","732","250","250","22","210","16","50.50485436893204","602","2743","16","25","19"
"31","2","7","15","1","2","5","0","22","1","30","30","60","8","744","250","250","34","210","22","50.670103092783506","573","2775","14","27","14"
"37","2","7","15","1","2","5","0","22","1","30","30","60","8","719","250","250","9","210","21","50.58252427184466","591","2778","13","29","16"
"35","2","7","15","1","2","5","0","22","1","30","30","60","8","743","250","250","33","210","21","50.67619047619048","569","2778","14","27","18"
"36","2","7","15","1","2","5","0","22","1","30","30","60","8","723","250","250","13","210","22","50.57","590","2746","13","26","14"
"38","2","7","15","1","2","5","0","22","1","30","30","60","8","714","250","250","4","210","20","50.50515463917526","549","2767","13","29","12"
"39","2","7","15","1","2","5","0","22","1","30","30","60","8","733","250","250","23","210","22","50.386138613861384","569","2773","14","31","11"
"41","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","18","50.666666666666664","581","2759","12","29","16"
"40","2","7","15","1","2","5","0","22","1","30","30","60","8","748","250","250","38","210","17","50.4811320754717","605","2750","13","29","17"
"42","2","7","15","1","2","5","0","22","1","30","30","60","8","730","250","250","20","210","23","50.68269230769231","592","2776","13","34","12"
"43","2","7","15","1","2","5","0","22","1","30","30","60","8","729","250","250","19","210","19","50.42307692307692","580","2782","13","30","15"
"44","2","7","15","1","2","5","0","22","1","30","30","60","8","732","248","250","24","210","25","50.679611650485434","553","2767","10","33","12"
"45","2","7","15","1","2","5","0","22","1","30","30","60","8","725","250","250","15","210","23","50.59405940594059","601","2756","12","23","20"
"47","2","7","15","1","2","5","0","22","1","30","30","60","8","742","246","250","36","210","26","50.5","617","2750","9","33","15"
"46","2","7","15","1","2","5","0","22","1","30","30","60","8","725","250","250","15","210","23","50.76470588235294","603","2751","10","32","15"
"48","2","7","15","1","2","5","0","22","1","30","30","60","8","725","250","250","15","210","24","50.56435643564357","603","2756","10","28","14"
"49","2","7","15","1","2","5","0","22","1","30","30","60","8","719","250","250","9","210","21","50.48039215686274","553","2789","14","20","21"
"50","2","7","15","1","2","5","0","22","1","30","30","60","8","712","240","250","12","210","29","50.50476190476191","612","2756","10","26","20"
"52","2","7","15","1","2","5","0","22","1","30","30","60","8","728","250","250","18","210","19","50.450980392156865","575","2794","15","26","17"
"53","2","7","15","1","2","5","0","22","1","30","30","60","8","710","242","250","8","210","28","50.55238095238095","576","2780","13","27","18"
"51","2","7","15","1","2","5","0","22","1","30","30","60","8","717","250","250","7","210","20","50.628571428571426","598","2761","13","28","16"
"54","2","7","15","1","2","5","0","22","1","30","30","60","8","721","250","250","11","210","20","50.59405940594059","558","2775","14","23","20"
"56","2","7","15","1","2","5","0","22","1","30","30","60","8","725","250","250","15","210","20","50.59047619047619","604","2741","15","25","19"
"55","2","7","15","1","2","5","0","22","1","30","30","60","8","741","250","250","31","210","20","50.57142857142857","544","2783","17","27","15"
"57","2","7","15","1","2","5","0","22","1","30","30","60","8","710","250","250","0","210","19","50.5","568","2766","11","24","19"
"58","2","7","15","1","2","5","0","22","1","30","30","60","8","718","238","250","20","210","30","50.51","581","2756","15","26","14"
"60","2","7","15","1","2","5","0","22","1","30","30","60","8","735","250","250","25","210","23","50.63636363636363","529","2801","12","23","18"
"59","2","7","15","1","2","5","0","22","1","30","30","60","8","710","250","250","0","210","24","50.68269230769231","570","2787","14","25","19"
"61","2","7","15","1","2","5","0","22","1","30","30","60","8","738","250","250","28","210","18","50.59405940594059","555","2765","17","23","15"
"62","2","7","15","1","2","5","0","22","1","30","30","60","8","712","250","250","2","210","24","50.56190476190476","598","2746","12","31","16"
"63","2","7","15","1","2","5","0","22","1","30","30","60","8","742","250","250","32","210","17","50.54545454545455","593","2758","12","24","16"
"64","2","7","15","1","2","5","0","22","1","30","30","60","8","731","250","250","21","210","20","50.343434343434346","569","2766","13","31","10"
"65","2","7","15","1","2","5","0","22","1","30","30","60","8","723","230","250","33","210","34","50.5607476635514","558","2768","12","27","19"
"66","2","7","15","1","2","5","0","22","1","30","30","60","8","719","250","250","9","210","12","50.64646464646464","579","2761","15","19","19"
"67","2","7","15","1","2","5","0","22","1","30","30","60","8","712","250","250","2","210","20","50.61538461538461","598","2771","13","29","18"
