"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v3 scenario.nlogo"
"Virkeligheten"
"05/13/2021 15:36:44:531 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","5","7","3","2","2","3.5","2","22","4","0","7","60","5","401","250","75","6","70","17","50.0377358490566","590","2776","3","5","10"
"3","5","7","3","2","2","3.5","2","22","4","0","7","60","5","438","250","103","15","70","22","49.1551724137931","621","2745","3","11","9"
"2","5","7","3","2","2","3.5","2","22","4","0","7","60","5","411","250","91","0","70","19","50.05172413793103","598","2766","3","7","13"
"6","5","7","3","2","2","3.5","2","22","4","0","7","60","4","387","250","63","4","70","19","49.094339622641506","576","2786","3","1","14"
"8","5","7","3","2","2","3.5","2","22","4","0","7","60","5","408","250","87","1","70","23","50","585","2769","3","9","6"
"7","5","7","3","2","2","3.5","2","22","4","0","7","60","5","412","250","81","11","70","12","49.943396226415096","555","2782","3","7","8"
"5","5","7","3","2","2","3.5","2","22","4","0","7","60","5","401","250","77","4","70","10","50.528301886792455","565","2793","3","3","16"
"4","5","7","3","2","2","3.5","2","22","4","0","7","60","5","427","250","94","13","70","18","49.01724137931034","566","2780","3","8","12"
"9","5","7","3","2","2","3.5","2","22","4","0","7","60","5","403","250","78","5","70","19","49.83018867924528","587","2773","3","6","9"
"10","5","7","3","2","2","3.5","2","22","4","0","7","60","5","416","250","84","12","70","19","48.528301886792455","592","2760","3","8","7"
"14","5","7","3","2","2","3.5","2","22","4","0","7","60","5","435","250","97","18","70","21","48.98275862068966","553","2766","3","9","11"
"17","5","7","3","2","2","3.5","2","22","4","0","7","60","5","424","250","94","10","70","18","49","576","2793","3","8","12"
"11","5","7","3","2","2","3.5","2","22","4","0","7","60","5","413","250","92","1","70","19","50.698113207547166","605","2770","3","8","11"
"13","5","7","3","2","2","3.5","2","22","4","0","7","60","5","416","250","88","8","70","22","50.39622641509434","595","2738","3","6","14"
"12","5","7","3","2","2","3.5","2","22","4","0","7","60","5","418","250","97","1","70","16","49.724137931034484","588","2777","3","9","11"
"16","5","7","3","2","2","3.5","2","22","4","0","7","60","5","408","250","78","10","70","23","49.9811320754717","601","2771","3","6","9"
"20","5","7","3","2","2","3.5","2","22","4","0","7","60","4","397","250","72","5","70","16","50.15094339622642","587","2768","3","4","11"
"15","5","7","3","2","2","3.5","2","22","4","0","7","60","4","398","250","75","3","70","19","50.16981132075472","612","2743","3","5","10"
"21","5","7","3","2","2","3.5","2","22","4","0","7","60","5","408","250","87","1","70","19","50.0377358490566","576","2784","3","9","6"
"18","5","7","3","2","2","3.5","2","22","4","0","7","60","5","405","250","84","1","70","14","50.094339622641506","578","2794","3","8","7"
"19","5","7","3","2","2","3.5","2","22","4","0","7","60","5","447","250","109","18","70","14","49.05172413793103","590","2771","3","13","7"
"22","5","7","3","2","2","3.5","2","22","4","0","7","60","5","412","250","91","1","70","16","48.89655172413793","585","2773","3","7","13"
"23","5","7","3","2","2","3.5","2","22","4","0","7","60","5","419","250","87","12","70","24","50.20754716981132","572","2778","3","9","6"
"24","5","7","3","2","2","3.5","2","22","4","0","7","60","5","433","250","94","19","70","16","49.31578947368421","573","2778","3","8","12"
"25","5","7","3","2","2","3.5","2","22","4","0","7","60","5","408","250","88","0","70","16","50.224137931034484","557","2788","3","6","14"
"27","5","7","3","2","2","3.5","2","22","4","0","7","60","5","402","250","81","1","70","21","50.20754716981132","587","2758","3","7","8"
"30","5","7","3","2","2","3.5","2","22","4","0","7","60","5","421","250","84","17","70","21","49.41509433962264","559","2784","3","8","7"
"29","5","7","3","2","2","3.5","2","22","4","0","7","60","4","400","250","78","2","70","17","50.16981132075472","598","2778","3","6","9"
"28","5","7","3","2","2","3.5","2","22","4","0","7","60","5","408","250","78","10","70","24","49.75471698113208","570","2765","3","6","9"
"33","5","7","3","2","2","3.5","2","22","4","0","7","60","5","413","250","91","2","70","19","48.793103448275865","573","2774","3","7","13"
"26","5","7","3","2","2","3.5","2","22","4","0","7","60","5","431","250","103","8","70","16","49.241379310344826","593","2770","3","11","9"
"32","5","7","3","2","2","3.5","2","22","4","0","7","60","5","404","250","84","0","70","22","50.18867924528302","609","2757","3","8","7"
"31","5","7","3","2","2","3.5","2","22","4","0","7","60","4","400","250","78","2","70","19","49.56603773584906","590","2753","3","6","9"
"35","5","7","3","2","2","3.5","2","22","4","0","7","60","5","421","250","85","16","70","21","48.86206896551724","564","2797","3","5","15"
"36","5","7","3","2","2","3.5","2","22","4","0","7","60","5","420","250","94","6","70","18","50.54716981132076","583","2780","3","8","12"
"34","5","7","3","2","2","3.5","2","22","4","0","7","60","5","423","250","84","19","70","20","49.9811320754717","585","2775","3","8","7"
"37","5","7","3","2","2","3.5","2","22","4","0","7","60","4","399","250","78","1","70","22","49.75471698113208","574","2782","3","6","9"
"38","5","7","3","2","2","3.5","2","22","4","0","7","60","4","390","250","69","1","70","24","49.60377358490566","556","2786","3","3","12"
"40","5","7","3","2","2","3.5","2","22","4","0","7","60","5","412","250","78","14","70","21","50.075471698113205","592","2762","3","6","9"
