"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Beredskapsledelsen"
"05/09/2021 18:43:30:120 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"4","3","7","15","4","1","7","2","22","3","26","10","60","7","683","250","246","27","160","6","51.25423728813559","82","208","9","28","8"
"6","3","7","15","4","1","7","2","22","3","26","10","60","7","683","250","250","23","160","5","51.08474576271186","61","221","10","28","7"
"8","3","7","15","4","1","7","2","22","3","26","10","60","7","663","250","250","3","160","5","51.016949152542374","69","211","9","30","6"
"3","3","7","15","4","1","7","2","22","3","26","10","60","7","661","248","236","17","160","7","51.101694915254235","59","211","7","30","8"
"2","3","7","15","4","1","7","2","22","3","26","10","60","7","655","250","236","9","160","1","46.25423728813559","59","233","7","30","8"
"7","3","7","15","4","1","7","2","22","3","26","10","60","7","665","244","239","22","160","9","51.03389830508475","79","198","10","23","12"
"5","3","7","15","4","1","7","2","22","3","26","10","60","7","674","250","247","17","160","2","50.94915254237288","76","222","8","31","6"
"10","3","7","15","4","1","7","2","22","3","26","10","60","7","661","250","246","5","160","5","50.96610169491525","57","217","9","28","8"
"9","3","7","15","4","1","7","2","22","3","26","10","60","7","655","246","244","5","160","8","50.983050847457626","70","202","8","30","7"
"1","3","7","15","4","1","7","2","22","3","26","10","60","7","637","248","229","0","160","7","50.983050847457626","63","213","5","33","7"
