"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Driftsutvalget"
"05/09/2021 19:12:41:283 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"1","4","7","0","3","2","3.5","1","22","3","0","2","60","5","477","234","102","1","140","14","50.75","76","202","3","4","26"
"3","4","7","0","3","2","3.5","1","22","3","0","2","60","5","483","250","93","0","140","3","49.142857142857146","68","223","3","1","29"
"4","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","99","0","140","1","30","59","234","3","3","27"
"5","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","93","6","140","5","50.84090909090909","66","209","3","1","29"
"7","4","7","0","3","2","3.5","1","22","3","0","2","60","5","486","250","96","0","140","5","51.29545454545455","69","208","3","2","28"
"2","4","7","0","3","2","3.5","1","22","3","0","2","60","5","471","238","93","0","140","12","51.15909090909091","67","199","3","1","29"
"6","4","7","0","3","2","3.5","1","22","3","0","2","60","5","496","250","96","10","140","4","51.02272727272727","68","220","3","2","28"
"8","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","96","4","140","0","35.72727272727273","68","233","3","2","28"
"9","4","7","0","3","2","3.5","1","22","3","0","2","60","5","485","250","93","2","140","3","50.5","64","225","3","1","29"
"10","4","7","0","3","2","3.5","1","22","3","0","2","60","5","493","250","96","7","140","4","51.13636363636363","66","215","3","2","28"
"11","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","242","102","0","140","10","50.72727272727273","65","211","3","4","26"
"13","4","7","0","3","2","3.5","1","22","3","0","2","60","6","502","250","96","16","140","3","50.56818181818182","66","225","3","2","28"
"17","4","7","0","3","2","3.5","1","22","3","0","2","60","5","499","250","90","19","140","4","51.31818181818182","63","210","3","0","30"
"18","4","7","0","3","2","3.5","1","22","3","0","2","60","5","491","246","99","6","140","8","51.11363636363637","65","208","3","3","27"
"14","4","7","0","3","2","3.5","1","22","3","0","2","60","5","498","250","108","0","140","5","50.70454545454545","66","227","3","6","24"
"15","4","7","0","3","2","3.5","1","22","3","0","2","60","5","485","248","90","7","140","7","51.11363636363637","67","210","3","0","30"
"19","4","7","0","3","2","3.5","1","22","3","0","2","60","5","500","248","96","16","140","7","50.63636363636363","67","216","3","2","28"
"12","4","7","0","3","2","3.5","1","22","3","0","2","60","5","493","250","90","13","140","4","51.02272727272727","57","216","3","0","30"
"16","4","7","0","3","2","3.5","1","22","3","0","2","60","5","486","248","90","8","140","7","50.88636363636363","67","205","3","0","30"
"20","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","99","0","140","5","49.68181818181818","65","224","3","3","27"
"22","4","7","0","3","2","3.5","1","22","3","0","2","60","5","481","236","105","0","140","13","51.15909090909091","77","200","3","5","25"
"25","4","7","0","3","2","3.5","1","22","3","0","2","60","5","496","246","102","8","140","8","51.04545454545455","71","214","3","4","26"
"28","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","250","90","0","140","6","51.22727272727273","71","209","3","0","30"
"21","4","7","0","3","2","3.5","1","22","3","0","2","60","5","498","250","90","18","140","6","51","62","216","3","0","30"
"29","4","7","0","3","2","3.5","1","22","3","0","2","60","5","484","234","96","14","140","14","51.11363636363637","70","195","3","2","28"
"23","4","7","0","3","2","3.5","1","22","3","0","2","60","5","490","250","99","1","140","6","50.79545454545455","65","222","3","3","27"
"26","4","7","0","3","2","3.5","1","22","3","0","2","60","5","489","250","96","3","140","3","51.02272727272727","67","220","3","2","28"
"24","4","7","0","3","2","3.5","1","22","3","0","2","60","5","481","246","90","5","140","8","51.04545454545455","78","201","3","0","30"
"27","4","7","0","3","2","3.5","1","22","3","0","2","60","5","480","250","90","0","140","4","50","64","224","3","0","30"
"30","4","7","0","3","2","3.5","1","22","3","0","2","60","5","496","250","99","7","140","6","50.83673469387755","75","216","3","3","27"
"33","4","7","0","3","2","3.5","1","22","3","0","2","60","5","495","244","93","18","140","9","50.88636363636363","65","206","3","1","29"
"31","4","7","0","3","2","3.5","1","22","3","0","2","60","5","492","250","99","3","140","4","50.93181818181818","61","224","3","3","27"
