"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Intensiven"
"05/09/2021 19:13:24:229 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"4","2","7","15","1","2","5","0","22","1","30","30","60","8","720","250","250","10","210","6","50.25252525252525","76","220","13","46","16"
"6","2","7","15","1","2","5","0","22","1","30","30","60","8","711","246","250","5","210","8","51","65","210","15","46","14"
"1","2","7","15","1","2","5","0","22","1","30","30","60","8","743","248","250","35","210","7","51.08080808080808","81","215","15","49","11"
"5","2","7","15","1","2","5","0","22","1","30","30","60","8","702","242","250","0","210","10","51.101010101010104","70","204","18","41","16"
"7","2","7","15","1","2","5","0","22","1","30","30","60","8","730","250","250","20","210","5","50.38383838383838","66","220","10","56","9"
"3","2","7","15","1","2","5","0","22","1","30","30","60","7","695","230","250","5","210","16","50.96969696969697","80","203","14","51","10"
"2","2","7","15","1","2","5","0","22","1","30","30","60","8","716","238","250","18","210","12","50.898989898989896","71","208","10","57","8"
"11","2","7","15","1","2","5","0","22","1","30","30","60","8","723","250","250","13","210","3","50.717171717171716","60","227","11","55","9"
"9","2","7","15","1","2","5","0","22","1","30","30","60","8","722","246","250","16","210","8","51.121212121212125","64","208","11","54","10"
"8","2","7","15","1","2","5","0","22","1","30","30","60","8","722","238","250","24","210","12","51.01010101010101","68","204","14","47","14"
