"BehaviorSpace results (NetLogo 6.2.0)"
"ABM hospital v2.nlogo"
"Virkeligheten"
"05/09/2021 18:42:54:245 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","Antall_ledelsesorganer_PPE","antall_i_ren_intensiv_sone","Antall_omdisponerte_ved_pandemi_start","Trigger_omdisponering_sykepleiere_per_pasient","Antall_motstridende_beskjeder_PPE","Trigger_normalisering_sykepleiere_per_pasient","antall_motstridende_beskjeder","fast_ansatt_intensiv","antall_ledelsesorganer","dager_før_start","dager_opplæring_omdisponerte_etter_start","[step]","beredskaps_vellykkethet","beredskapshåndtering","beredskapshåndtering_døds_relatert","beredskapshåndtering_kompetanse_relatert","beredskapshåndtering_stress_relatert","beredskapshåndtering_kommunikasjon","døde","gjennomsnitt_stress","kummulativt_antall_intensiv","friskmeldte_pasienter","antall_kompetanse_over_3","antall_kompetanse_under_3_til_2","antall_kompetanse_under_2_til_1"
"8","5","7","3","2","2","3.5","2","22","4","0","7","60","4","400","250","74","6","70","2","50.43589743589744","69","228","1","0","32"
"2","5","7","3","2","2","3.5","2","22","4","0","7","60","4","395","250","75","0","70","2","50.3125","65","228","1","1","30"
"6","5","7","3","2","2","3.5","2","22","4","0","7","60","4","395","250","73","2","70","5","51.191489361702125","82","216","1","1","29"
"7","5","7","3","2","2","3.5","2","22","4","0","7","60","5","422","246","82","24","70","8","51.234042553191486","76","203","2","0","31"
"4","5","7","3","2","2","3.5","2","22","4","0","7","60","5","415","250","88","7","70","5","50.82222222222222","68","210","3","2","24"
"5","5","7","3","2","2","3.5","2","22","4","0","7","60","4","386","250","63","3","70","6","50.81395348837209","75","222","0","1","29"
"3","5","7","3","2","2","3.5","2","22","4","0","7","60","4","396","234","85","7","70","14","51.255319148936174","78","196","2","1","30"
"9","5","7","3","2","2","3.5","2","22","4","0","7","60","4","394","250","72","2","70","2","50.666666666666664","64","227","1","0","31"
"10","5","7","3","2","2","3.5","2","22","4","0","7","60","4","392","238","83","1","70","12","50.93478260869565","75","203","2","1","29"
"1","5","7","3","2","2","3.5","2","22","4","0","7","60","5","409","250","86","3","70","2","50.17777777777778","75","226","2","2","28"
